date,symbol,open,high,low,close,volume,open_interest,settlement,change_pct
2008-01-09,AU,230.95,230.99,221.88,223.3,103364,16342,0.0,0.0
2008-01-10,AU,222.5,222.85,213.7,215.12,87984,23494,0.0,0.0
2008-01-11,AU,218.0,219.23,215.5,218.1,85418,25424,0.0,0.0
2008-01-14,AU,218.85,220.25,217.6,220.1,60776,27714,0.0,0.0
2008-01-15,AU,220.7,224.6,220.3,223.8,88242,29866,0.0,0.0
2008-01-16,AU,220.6,220.6,215.4,215.89,94362,29582,0.0,0.0
2008-01-17,AU,214.03,216.8,213.5,216.47,61962,30916,0.0,0.0
2008-01-18,AU,214.0,214.9,212.42,214.7,58006,29538,0.0,0.0
2008-01-21,AU,214.7,216.33,213.8,214.2,43510,30294,0.0,0.0
2008-01-22,AU,208.0,209.5,204.72,206.41,78532,29326,0.0,0.0
2008-01-23,AU,212.0,214.25,210.9,212.51,60988,26596,0.0,0.0
2008-01-24,AU,213.02,217.08,212.61,216.7,57962,30156,0.0,0.0
2008-01-25,AU,220.1,221.4,218.32,219.8,72624,32428,0.0,0.0
2008-01-28,AU,219.6,221.97,219.2,220.33,62712,33182,0.0,0.0
2008-01-29,AU,223.6,224.3,222.56,222.56,47652,34168,0.0,0.0
2008-01-31,AU,220.0,221.04,218.22,219.35,43002,33082,0.0,0.0
2008-02-01,AU,220.61,221.0,218.56,218.75,28726,32934,0.0,0.0
2008-02-04,AU,216.0,216.94,215.0,215.6,31388,32288,0.0,0.0
2008-02-05,AU,215.5,215.58,214.7,215.26,17456,32802,0.0,0.0
2008-02-13,AU,216.01,216.16,213.5,213.69,22060,34146,0.0,0.0
2008-02-14,AU,214.6,216.18,214.43,216.1,29802,35040,0.0,0.0
2008-02-15,AU,216.0,216.51,215.33,216.25,22126,35278,0.0,0.0
2008-02-18,AU,215.2,215.7,214.2,215.48,22840,36068,0.0,0.0
2008-02-19,AU,215.51,218.38,215.5,218.38,42656,44314,0.0,0.0
2008-02-20,AU,222.0,222.25,219.51,219.81,50118,43710,0.0,0.0
2008-02-21,AU,221.81,224.1,221.81,223.58,50356,44110,0.0,0.0
2008-02-22,AU,221.5,224.45,221.5,222.45,40978,42460,0.0,0.0
2008-02-25,AU,223.6,225.8,223.0,225.78,39612,46534,0.0,0.0
2008-02-26,AU,222.96,222.96,218.92,219.43,46998,37020,0.0,0.0
2008-02-27,AU,224.9,226.0,224.02,224.68,37188,37268,0.0,0.0
