date,value
2026-01-01,12986.60681818182
2026-02-01,12951.345
2026-03-01,12528.70954545455
2026-04-01,12890.68772727273
2026-05-01,13483.75153846154
2026-01-01,12986.60681818182
2026-02-01,12951.345
2026-03-01,12528.70954545455
2026-04-01,12890.68772727273
2026-05-01,13483.75153846154
2026-01-01,12986.60681818182
2026-02-01,12951.345
2026-03-01,12528.70954545455
2026-04-01,12890.68772727273
2026-05-01,13483.75153846154
2026-01-01,12986.60681818182
2026-02-01,12951.345
2026-03-01,12528.70954545455
2026-04-01,12890.68772727273
2026-05-01,13483.75153846154
2026-01-01,12986.60681818182
2026-02-01,12951.345
2026-03-01,12528.70954545455
2026-04-01,12890.68772727273
2026-05-01,13483.75153846154
2026-01-01,12986.60681818182
2026-02-01,12951.345
2026-03-01,12528.70954545455
2026-04-01,12890.68772727273
2026-05-01,13483.75153846154
