date,value
2026-01-02,119.6059
2026-01-05,119.6192
2026-01-06,119.7807
2026-01-07,119.8719
2026-01-08,120.0904
2026-01-09,120.2215
2026-01-12,119.9958
2026-01-13,120.1401
2026-01-14,119.9537
2026-01-15,119.9951
2026-01-16,120.0838
2026-01-20,119.4455
2026-01-21,119.3431
2026-01-22,119.1962
2026-01-23,118.8976
2026-01-26,118.0525
2026-01-27,117.4523
2026-01-28,117.5117
2026-01-29,117.4396
2026-01-30,117.8996
2026-02-02,118.3609
2026-02-03,117.9764
2026-02-04,118.2602
2026-02-05,118.5034
2026-02-06,118.2407
2026-02-09,117.6392
2026-02-10,117.5216
2026-02-11,117.4601
2026-02-12,117.5376
2026-02-13,117.5258
2026-02-17,117.7375
2026-02-18,117.8426
2026-02-19,118.2354
2026-02-20,117.9917
2026-02-23,117.9395
2026-02-24,117.9463
2026-02-25,117.769
2026-02-26,117.9042
2026-02-27,117.8223
2026-03-02,118.667
2026-03-03,119.4341
2026-03-04,119.0705
2026-03-05,119.5683
2026-03-06,119.491
2026-03-09,119.5151
2026-03-10,118.7255
2026-03-11,119.2885
2026-03-12,119.8227
2026-03-13,120.5518
2026-03-16,120.097
2026-03-17,119.8328
2026-03-18,119.9276
2026-03-19,120.1802
2026-03-20,120.2757
2026-03-23,119.9371
2026-03-24,120.1295
2026-03-25,120.1282
2026-03-26,120.389
2026-03-27,120.8851
2026-03-30,121.2851
2026-03-31,121.035
2026-04-01,120.1198
2026-04-02,120.503
2026-04-03,120.6565
2026-04-06,120.4302
2026-04-07,120.32
2026-04-08,119.0596
2026-04-09,118.8998
2026-04-10,118.8552
2026-04-13,118.9916
2026-04-14,118.3581
2026-04-15,118.3623
2026-04-16,118.3616
2026-04-17,118.0795
2026-04-20,118.2374
2026-04-21,118.4331
2026-04-22,118.6004
2026-04-23,118.7155
2026-04-24,118.7294
2026-04-27,118.5458
2026-04-28,118.7717
2026-04-29,119.0975
2026-04-30,118.671
2026-05-01,118.3926
2026-05-04,118.8264
2026-05-05,118.6207
2026-05-06,118.0982
2026-05-07,118.0116
2026-05-08,118.0392
2026-05-11,118.0562
2026-05-12,118.5238
2026-05-13,118.4737
2026-05-14,118.6696
2026-05-15,119.2825
2026-05-21,119.2825
2026-05-21,119.2825
