timestamp,gold_usd,silver_usd,ratio
2026-05-18 16:40:35,4552.5,76.33,59.64
2026-05-18 16:41:16,4552.5,76.33,59.64
2026-05-18 16:41:19,4552.5,76.33,59.64
2026-05-18 16:41:56,4552.5,76.33,59.64
2026-05-18 16:45:05,4551.4,76.14,59.78
2026-05-18 16:50:03,4553.9,76.28,59.7
2026-05-18 16:55:02,4555.6,76.41,59.62
2026-05-18 17:00:03,4554.2,76.22,59.75
2026-05-18 17:05:03,4548.3,76.28,59.62
2026-05-18 17:10:03,4547.7,76.15,59.72
2026-05-18 17:15:03,4547.6,76.18,59.69
2026-05-18 17:20:03,4547.9,76.08,59.77
2026-05-18 17:25:03,4549.4,76.16,59.73
2026-05-18 17:30:03,4547.1,75.95,59.87
2026-05-18 17:35:03,4544.3,76.0,59.79
2026-05-18 17:40:04,4545.9,75.94,59.86
2026-05-18 17:45:03,4542.2,75.83,59.9
2026-05-18 17:50:03,4542.2,75.78,59.94
2026-05-18 17:55:03,4542.8,75.82,59.91
2026-05-18 18:00:03,4543.9,75.92,59.85
2026-05-18 18:05:03,4543.7,75.91,59.86
2026-05-18 18:10:03,4542.7,75.97,59.79
2026-05-18 18:15:03,4540.1,75.88,59.83
2026-05-18 18:20:03,4541.5,75.9,59.84
2026-05-18 18:25:03,4539.5,75.84,59.86
2026-05-18 18:30:03,4540.5,75.84,59.87
2026-05-18 18:35:05,4535.6,75.75,59.87
2026-05-18 18:40:05,4538.6,75.7,59.96
2026-05-18 18:45:03,4541.3,75.93,59.81
2026-05-18 18:50:03,4548.2,76.26,59.64
2026-05-18 18:55:03,4541.8,76.04,59.73
2026-05-18 19:00:05,4540.3,75.94,59.78
2026-05-18 19:05:03,4540.3,75.82,59.88
2026-05-18 19:10:03,4539.9,75.87,59.84
2026-05-18 19:15:03,4537.4,75.82,59.84
2026-05-18 19:20:03,4538.4,76.0,59.72
2026-05-18 19:25:04,4534.3,75.9,59.74
2026-05-18 19:30:03,4536.7,75.88,59.79
2026-05-18 19:35:04,4540.3,75.99,59.75
2026-05-18 19:40:05,4544.5,76.27,59.58
2026-05-18 19:45:03,4564.9,77.03,59.26
2026-05-18 19:50:03,4561.4,76.88,59.33
2026-05-18 19:55:05,4553.7,76.61,59.44
2026-05-18 20:00:07,4554.3,76.62,59.44
2026-05-18 20:05:04,4549.5,76.44,59.52
2026-05-18 20:10:04,4554.7,76.66,59.42
2026-05-18 20:15:05,4554.4,76.65,59.42
2026-05-18 20:20:05,4550.6,76.55,59.44
2026-05-18 20:25:04,4551.8,76.86,59.23
2026-05-18 20:30:05,4554.7,77.02,59.13
2026-05-18 20:35:03,4555.9,76.93,59.22
2026-05-18 20:40:03,4560.4,77.19,59.08
2026-05-18 20:45:05,4566.6,77.26,59.11
2026-05-18 20:50:03,4570.4,77.36,59.08
2026-05-18 20:55:03,4564.9,77.17,59.16
2026-05-18 21:00:05,4566.4,77.31,59.07
2026-05-18 21:05:05,4566.6,77.45,58.96
2026-05-18 21:10:06,4569.2,77.5,58.96
2026-05-18 21:15:05,4566.8,77.57,58.87
2026-05-18 21:20:06,4568.0,77.59,58.87
2026-05-18 21:25:04,4569.8,77.56,58.92
2026-05-18 21:30:06,4576.2,77.88,58.76
2026-05-18 21:35:04,4575.4,77.83,58.79
2026-05-18 21:40:07,4573.0,78.08,58.57
2026-05-18 21:45:05,4567.7,77.79,58.71
2026-05-18 21:50:04,4573.4,77.98,58.65
2026-05-18 21:55:05,4580.5,78.15,58.61
2026-05-18 22:00:04,4581.6,78.14,58.63
2026-05-18 22:05:03,4570.7,77.83,58.72
2026-05-18 22:10:04,4565.3,77.34,59.03
2026-05-18 22:15:04,4568.4,77.58,58.88
2026-05-18 22:20:04,4566.2,77.4,58.99
2026-05-18 22:25:06,4558.4,77.04,59.17
2026-05-18 22:30:02,4564.2,77.22,59.11
2026-05-18 22:35:04,4556.8,77.0,59.18
2026-05-18 22:40:06,4549.2,76.77,59.26
2026-05-19 20:31:16,4546.0,76.45,59.46
2026-05-19 20:35:04,4545.7,76.38,59.52
2026-05-19 20:40:04,4545.1,76.24,59.61
2026-05-19 20:45:04,4541.3,76.31,59.51
2026-05-19 20:50:06,4540.0,76.26,59.54
2026-05-19 20:55:06,4542.2,76.3,59.53
2026-05-19 21:00:04,4540.5,76.31,59.5
2026-05-19 21:05:03,4531.0,75.94,59.67
2026-05-19 21:10:08,4517.8,75.76,59.63
2026-05-19 21:15:05,4525.3,75.75,59.74
2026-05-19 21:20:03,4520.4,75.55,59.83
2026-05-19 21:25:04,4506.7,74.9,60.17
2026-05-19 21:30:06,4499.3,73.75,61.0
2026-05-19 21:35:05,4481.3,73.65,60.84
2026-05-19 21:40:04,4483.4,73.51,60.99
2026-05-19 21:45:06,4480.8,73.57,60.91
2026-05-19 21:50:04,4477.5,73.73,60.73
2026-05-19 21:55:05,4497.0,74.31,60.52
2026-05-19 22:00:03,4507.9,74.51,60.5
2026-05-19 22:05:04,4500.1,74.42,60.47
2026-05-19 22:10:05,4499.7,74.57,60.34
2026-05-19 22:15:04,4498.0,74.45,60.41
2026-05-19 22:20:05,4500.5,74.54,60.38
2026-05-19 22:25:03,4487.7,74.15,60.52
2026-05-19 22:30:06,4491.6,74.36,60.41
2026-05-19 22:35:14,4493.0,74.02,60.7
2026-05-19 22:40:05,4493.9,74.15,60.6
2026-05-19 22:45:04,4495.0,74.22,60.56
2026-05-20 17:46:25,4484.8,75.56,59.35
2026-05-20 17:55:18,4490.2,75.68,59.33
2026-05-21 01:25:50,4534.9,75.91,59.74
