timestamp,dxy,us10y,vix,gold_futures,silver_futures
2026-05-21 00:34:22,99.125,4.58,17.75,4530.6,76.075
2026-05-21 00:38:16,99.131,4.588,17.8,4530.6,76.0
2026-05-21 00:39:29,99.143,4.589,17.83,4527.5,75.96
2026-05-21 00:40:02,99.134,4.591,17.79,4529.0,75.98
2026-05-21 00:44:29,99.15,4.593,17.86,4528.5,75.98
2026-05-21 00:45:39,99.148,4.591,17.87,4529.3,76.025
2026-05-21 00:55:17,99.102,4.591,17.83,4536.6,76.26
2026-05-21 15:46:22,99.309,4.572,17.54,4517.0,75.23,0,0,30409,8506
2026-05-21 15:47:35,99.308,4.572,17.53,4517.8
2026-05-21 16:17:42,99.221,4.572,17.42,4527.5,75.36
